tavg,prcp,snow,year,month,day,hour,wind,wind_flag
11.3,1,0,2020,11,24,0,21.700000000000003,0
13.0,1,0,2020,11,25,0,17.8,0
14.9,1,0,2020,11,26,0,31.45,1
16.1,1,0,2020,11,27,0,43.400000000000006,1
13.7,1,0,2020,11,28,0,40.5,1
14.1,1,0,2020,11,29,0,23.8,0
12.3,1,0,2020,11,30,0,20.9,0
10.6,1,0,2020,12,1,0,23.700000000000003,0
10.7,1,0,2020,12,2,0,21.950000000000003,0
8.5,1,0,2020,12,3,0,24.049999999999997,0
9.4,1,0,2020,12,4,0,29.4,0
6.9,1,0,2020,12,5,0,24.5,0
8.8,1,0,2020,12,6,0,29.200000000000003,0
10.3,1,0,2020,12,7,0,29.05,0
8.8,1,0,2020,12,8,0,29.7,0
9.4,1,0,2020,12,9,0,28.25,0
10.7,1,0,2020,12,10,0,26.799999999999997,0
9.8,1,0,2020,12,11,0,20.700000000000003,0
12.7,1,0,2020,12,12,0,36.0,1
10.1,1,0,2020,12,13,0,23.900000000000002,0
10.6,1,0,2020,12,14,0,14.299999999999999,0
13.3,1,0,2020,12,15,0,19.15,0
10.8,1,0,2020,12,16,0,17.5,0
12.4,1,0,2020,12,17,0,24.05,0
13.8,1,0,2020,12,18,0,19.75,0
12.3,1,0,2020,12,19,0,18.3,0
12.3,1,0,2020,12,20,0,17.75,0
10.8,1,0,2020,12,21,0,23.95,0
11.5,1,0,2020,12,22,0,24.15,0
12.8,1,0,2020,12,23,0,26.799999999999997,0
11.7,1,0,2020,12,24,0,17.450000000000003,0
8.9,1,0,2020,12,25,0,30.0,0
7.8,1,0,2020,12,26,0,24.3,0
6.2,1,0,2020,12,27,0,32.45,1
10.7,1,0,2020,12,28,0,45.5,1
10.3,1,0,2020,12,29,0,37.8,1
9.0,1,0,2020,12,30,0,30.8,1
8.6,1,0,2020,12,31,0,29.049999999999997,0
7.2,1,0,2021,1,1,0,20.35,0
5.7,1,0,2021,1,2,0,22.35,0
5.4,1,0,2021,1,3,0,21.85,0
4.9,1,0,2021,1,4,0,21.950000000000003,0
3.8,1,0,2021,1,5,0,20.65,0
3.6,1,0,2021,1,6,0,22.75,0
4.7,1,0,2021,1,7,0,23.15,0
4.2,1,0,2021,1,8,0,26.450000000000003,0
6.3,1,0,2021,1,9,0,56.349999999999994,1
6.7,1,0,2021,1,10,0,39.95,1
4.9,1,0,2021,1,11,0,25.15,0
4.2,1,0,2021,1,12,0,29.15,0
6.6,1,0,2021,1,13,0,27.0,0
6.7,1,0,2021,1,14,0,28.85,0
